file,true_label,risk_score,risk_level,ml_source,predicted_fake
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0030.wav,genuine,0.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0031.wav,genuine,1.8,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0032.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0033.wav,genuine,0.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0034.wav,genuine,2.6,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0035.wav,genuine,0.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0036.wav,genuine,1.5,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0037.wav,genuine,1.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0038.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0039.wav,genuine,1.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0040.wav,genuine,1.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0041.wav,genuine,0.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0042.wav,genuine,1.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0043.wav,genuine,0.5,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0044.wav,genuine,0.9,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0045.wav,genuine,1.7,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0046.wav,genuine,0.4,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0047.wav,genuine,1.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0048.wav,genuine,0.9,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0049.wav,genuine,0.8,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0050.wav,genuine,3.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0051.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0052.wav,genuine,2.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0053.wav,genuine,0.6,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0054.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0055.wav,genuine,0.9,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0056.wav,genuine,1.4,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0057.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0058.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0059.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0060.wav,genuine,2.5,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0061.wav,genuine,0.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0062.wav,genuine,0.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0063.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0064.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0065.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0066.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0067.wav,genuine,0.9,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0068.wav,genuine,1.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0069.wav,genuine,0.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0070.wav,genuine,2.4,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0071.wav,genuine,1.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0072.wav,genuine,0.5,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0073.wav,genuine,0.8,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0074.wav,genuine,0.4,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0075.wav,genuine,0.4,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0076.wav,genuine,0.7,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0077.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0078.wav,genuine,1.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0079.wav,genuine,2.6,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0080.wav,genuine,2.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0081.wav,genuine,0.7,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0082.wav,genuine,0.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0083.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0084.wav,genuine,1.7,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0085.wav,genuine,0.5,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0086.wav,genuine,0.6,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0087.wav,genuine,2.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0088.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0089.wav,genuine,0.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0090.wav,genuine,0.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0091.wav,genuine,0.4,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0092.wav,genuine,0.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0093.wav,genuine,0.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0094.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0095.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0096.wav,genuine,0.7,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0097.wav,genuine,0.4,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0098.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0099.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0100.wav,genuine,0.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0101.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0102.wav,genuine,0.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0103.wav,genuine,1.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0104.wav,genuine,1.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0105.wav,genuine,2.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0106.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0107.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0108.wav,genuine,3.4,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0109.wav,genuine,2.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0110.wav,genuine,1.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0111.wav,genuine,1.6,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0112.wav,genuine,7.9,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0113.wav,genuine,1.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0114.wav,genuine,0.5,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0115.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0116.wav,genuine,2.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0117.wav,genuine,1.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0118.wav,genuine,0.7,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0119.wav,genuine,0.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0120.wav,genuine,0.8,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0121.wav,genuine,0.7,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0122.wav,genuine,1.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0123.wav,genuine,2.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0124.wav,genuine,0.9,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0125.wav,genuine,3.5,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0126.wav,genuine,0.5,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0127.wav,genuine,1.9,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0128.wav,genuine,2.6,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0129.wav,genuine,2.6,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0130.wav,genuine,1.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0131.wav,genuine,4.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0132.wav,genuine,0.6,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0133.wav,genuine,2.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0134.wav,genuine,0.8,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0135.wav,genuine,1.4,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0136.wav,genuine,2.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0137.wav,genuine,1.0,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0138.wav,genuine,47.1,MEDIUM,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0139.wav,genuine,26.1,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0140.wav,genuine,4.7,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0141.wav,genuine,19.5,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0142.wav,genuine,24.6,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0143.wav,genuine,0.6,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0144.wav,genuine,1.9,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0145.wav,genuine,0.6,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0146.wav,genuine,6.3,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0147.wav,genuine,1.2,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0148.wav,genuine,1.8,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\genuine\genuine_0149.wav,genuine,12.7,LOW,dhwani,False
C:\Users\Dell\Desktop\my_dataset\fake\fake_0000.wav,fake,75.7,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0001.wav,fake,76.1,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0002.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0003.wav,fake,75.8,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0004.wav,fake,75.3,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0005.wav,fake,77.1,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0006.wav,fake,76.7,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0007.wav,fake,76.2,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0008.wav,fake,74.8,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0009.wav,fake,76.5,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0010.wav,fake,76.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0011.wav,fake,75.4,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0012.wav,fake,77.4,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0013.wav,fake,75.5,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0014.wav,fake,76.5,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0015.wav,fake,0.0,LOW,,False
C:\Users\Dell\Desktop\my_dataset\fake\fake_0016.wav,fake,0.0,LOW,,False
C:\Users\Dell\Desktop\my_dataset\fake\fake_0017.wav,fake,0.0,LOW,,False
C:\Users\Dell\Desktop\my_dataset\fake\fake_0018.wav,fake,76.4,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0019.wav,fake,76.9,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0020.wav,fake,70.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0021.wav,fake,65.1,MEDIUM,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0022.wav,fake,74.1,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0023.wav,fake,73.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0024.wav,fake,75.4,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0025.wav,fake,76.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0026.wav,fake,75.3,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0027.wav,fake,76.2,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0028.wav,fake,74.9,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0029.wav,fake,75.3,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0030.wav,fake,75.3,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0031.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0032.wav,fake,75.8,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0033.wav,fake,76.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0034.wav,fake,75.8,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0035.wav,fake,74.9,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0036.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0037.wav,fake,76.8,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0038.wav,fake,76.3,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0039.wav,fake,76.2,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0040.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0041.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0042.wav,fake,75.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0043.wav,fake,75.2,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0044.wav,fake,77.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0045.wav,fake,75.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0046.wav,fake,75.8,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0047.wav,fake,75.2,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0048.wav,fake,76.4,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0049.wav,fake,76.9,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0050.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0051.wav,fake,76.9,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0052.wav,fake,76.5,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0053.wav,fake,78.1,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0054.wav,fake,75.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0055.wav,fake,77.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0056.wav,fake,77.4,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0057.wav,fake,76.8,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0058.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0059.wav,fake,75.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0060.wav,fake,76.2,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0061.wav,fake,74.5,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0062.wav,fake,72.5,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0063.wav,fake,67.2,MEDIUM,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0064.wav,fake,70.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0065.wav,fake,74.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0066.wav,fake,73.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0067.wav,fake,73.3,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0068.wav,fake,72.9,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0069.wav,fake,68.5,MEDIUM,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0070.wav,fake,57.6,MEDIUM,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0071.wav,fake,72.5,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0072.wav,fake,69.9,MEDIUM,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0073.wav,fake,72.4,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0074.wav,fake,72.4,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0075.wav,fake,67.2,MEDIUM,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0076.wav,fake,74.2,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0077.wav,fake,71.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0078.wav,fake,74.1,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0079.wav,fake,74.5,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0080.wav,fake,73.3,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0081.wav,fake,73.8,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0082.wav,fake,75.1,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0083.wav,fake,71.5,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0084.wav,fake,74.3,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0085.wav,fake,74.9,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0086.wav,fake,70.4,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0087.wav,fake,71.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0088.wav,fake,72.8,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0089.wav,fake,74.2,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0090.wav,fake,72.2,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0091.wav,fake,74.9,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0092.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0093.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0094.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0095.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0096.wav,fake,75.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0097.wav,fake,74.7,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0098.wav,fake,74.9,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0099.wav,fake,77.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0100.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0101.wav,fake,74.9,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0102.wav,fake,75.6,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0103.wav,fake,74.9,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0104.wav,fake,75.1,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0105.wav,fake,76.2,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0106.wav,fake,75.4,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0107.wav,fake,75.3,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0108.wav,fake,76.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0109.wav,fake,75.0,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0110.wav,fake,75.9,HIGH,dhwani,True
C:\Users\Dell\Desktop\my_dataset\fake\fake_0111.wav,fake,75.4,HIGH,dhwani,True
